GATE_DS_SB: 848.1017><550.412><860.1465><555.4771><2><><48><35
GATE_SB_SL: 4500.385><589.3871><4512.431><594.4522><1><><48><35
GATE_LF_SB: -812.6143><1355.386><-800.5695><1360.451><1><><48><35
SB_F03: -981.1497><1049.795><-969.1049><1054.86><1><><48><232
SB_A10: -802.8848><1111.329><-790.8399><1116.394><1><><54><35
SB_A09: -1239.76><866.7028><-1227.715><871.7678><1><><48><35
SB_H03: -1009.174><621.9944><-997.1292><627.0595><1><Subterranean><204><78
SB_S06: -1519.027><580.8741><-1506.982><585.9392><2><><48><25
SB_H02: -385.1733><506.9947><-373.1285><512.0597><1><Subterranean><204><78
SB_A04: -780.1738><420.9949><-768.1289><426.0598><1><Subterranean><54><35
SB_A13: -937.593><421.3134><-925.5482><426.3784><1><Subterranean><48><35
SB_A01: -661.1738><387.9949><-649.1289><393.0598><2><Subterranean><52><35
SB_A11: -623.1124><276.6965><-611.0675><281.7615><1><Subterranean><48><35
SB_B01: -323.1732><301.9949><-311.1284><307.0598><1><Subterranean><105><35
SB_S07: -412.8785><217.6877><-400.8337><222.7527><1><><48><35
SB_A12: -22.11137><279.6965><-10.06654><284.7615><1><Subterranean><48><35
SB_C01: -353.1733><394.9953><-341.1285><400.0603><2><Subterranean><148><35
SB_B02: 43.82642><399.9953><55.87123><405.0603><2><Subterranean><113><35
SB_C05: 178.8264><-18.00562><190.8712><-12.94057><2><><48><121
SB_A03: 2.826116><458.9944><14.87093><464.0594><1><Subterranean><49><35
SB_E04: 390.8271><551.9944><402.8719><557.0595><1><Subterranean><254><38
SB_C06: 428.8267><312.9953><440.8715><318.0603><2><><48><121
SB_S03: 428.1024><308.4129><440.1472><313.4779><2><><48><35
SB_F02: 462.8267><8.99469><474.8715><14.05973><2><Filtration System><104><121
SB_D04: 701.8262><311.9949><713.8711><317.0598><2><Filtration System><48><150
SB_S04: 687.8248><591.5853><699.8697><596.6503><2><><48><35
SB_G03: 1408.834><567.9944><1420.879><573.0595><1><Subterranean><355><35
SB_F01: 1140.834><289.9947><1152.879><295.0597><2><Filtration System><105><121
SB_J01: 2329.831><605.9944><2341.876><611.0595><1><Subterranean><252><78
SB_E02: 3110.831><668.9944><3122.876><674.0595><1><Subterranean><252><35
SB_G02: 4037.83><668.9944><4049.875><674.0595><1><Subterranean><362><35
SB_S05: 4639.149><671.7056><4651.194><676.7706><1><><48><35
SB_C07: 2511.831><555.9944><2523.876><561.0595><0><Subterranean><154><45
SB_J02: 3121.831><475.9944><3133.876><481.0594><0><Subterranean><252><78
SB_J03: 2448.831><407.9949><2460.876><413.0598><1><><504><37
SB_S02: 2980.722><339.5603><2992.767><344.6253><1><><48><35
SB_I01: 360.8267><-349.0047><372.8715><-343.9397><2><Filtration System><152><120
SB_S01: 359.9835><-181.6523><372.0283><-176.5873><1><><48><35
SB_D06: 174.8264><-728.0056><186.8712><-722.9405><2><><48><154
SB_E05: -100.1735><-956.0056><-88.12868><-950.9405><1><Depths><262><35
SB_A14: -576.0314><-956.1259><-563.9865><-951.0608><1><Depths><54><35
SB_D02: -975.1738><-957.0056><-963.1289><-951.9405><1><Depths><204><35
SB_A02: -841.1738><-851.0056><-829.1289><-845.9405><2><Depths><48><35
SB_J04: -1455.166><-862.0056><-1443.121><-856.9405><2><Depths><255><78
SB_A08: -2069.167><-910.0056><-2057.121><-904.9405><2><Depths><48><35
SB_B03: -2232.169><-859.0056><-2220.124><-853.9405><1><Depths><48><78
SB_A07: -2115.166><-1030.006><-2103.121><-1024.941><1><Depths><48><35
SB_E03: -1665.166><-951.0056><-1653.121><-945.9405><1><Depths><255><40
SB_D05: -1438.166><-1034.006><-1426.121><-1028.941><0><Depths><204><35
SB_A06: -1401.166><-1143.007><-1389.121><-1137.942><0><Depths><48><35
SB_A05: -1117.17><-1141.007><-1105.125><-1135.942><0><Depths><48><35
SB_D03: -2613.169><-931.0056><-2601.124><-925.9405><1><Depths><204><35
SB_D07: -2918.169><-1213.009><-2906.124><-1207.944><1><Depths><48><150
SB_D01: -2633.794><-1502.374><-2621.749><-1497.309><1><Depths><104><78
SB_C08: -2182.108><-1549.413><-2170.063><-1544.348><1><Depths><152><35
SB_E01: -1525.793><-1544.374><-1513.748><-1539.309><1><Depths><252><35
SB_E06: -739.8002><-1555.374><-727.7553><-1550.309><1><Depths><268><35
SB_C09: -249.1132><-1674.413><-237.0683><-1669.348><1><Depths><54><120
SB_L01: 160.1997><-1913.374><172.2446><-1908.309><1><Depths><210><126
GATE_SB_OE: -2151.745><609.3954><-2139.7><614.4605><1><><48><35
GATE_SB_VS: 1926.263><-15.77255><1938.308><-10.70751><2><><48><35
SB_E07: 903.767><-103.4093><915.8119><-98.34432><2><Filtration System><151><80
SB_B04: 1042.826><-166.7621><1054.871><-161.6971><2><Filtration System><48><74
SB_S10: 1135.391><-172.16><1147.436><-167.095><1><><48><35
SB_C10: 1023.91><68.96304><1035.955><74.02807><2><Filtration System><151><35
SB_G04: 1482.57><-91.97916><1494.615><-86.91413><2><Filtration System><247><72
SB_GOR01: -1639.641><569.8542><-1627.596><574.9193><1><Subterranean><192><35
