globalCreatureFlags: Voidsea
Palette: 195
pupSpawnChance: 0
rippleSpiderThreshold: 10
hideTimer: True
earlyCycleChance: 0
earlyCycleFloodChance: 1

batDepleteCyclesMin: 4
batDepleteCyclesMax: 10
batDepleteCyclesMaxIfLessThanTwoLeft: 6
batDepleteCyclesMaxIfLessThanFiveLeft: 8
batsPerActiveSwarmRoom: 8
batsPerInactiveSwarmRoom: 2

voidSpawnTarget: HH_28
hideVoidSpawn: false

albinos: true
blackSalamanderChance: 0
kelpColor: 0,0.4,0
batGlowColor: 0,1,0
dragonflyColor: 0,0.8,0
boxWormColor: 0,0.8,0
inspectorColor: 0,0.455,0
wormGrassLight: true

corruptionEyeColor: 0,0.8,0
corruptionEffectColor: 0,1,0
rotEyeColor: BrotherLongLegs-00c300,DaddyLongLegs-00e100,TerrorLongLegs-00ff00,HunterDaddy-926439
rotEffectColor: BrotherLongLegs-00ff00,DaddyLongLegs-00ff00,TerrorLongLegs-00ff00,HunterDaddy-926439

{#moreslugcats,#watcher}scavGearItems: ExplosiveSpear-0.1,ElectricSpear-0.1,HellSpear-0.1,PoisonSpear-0.1,Boomerang-0.15,ScavengerBomb-0.15,Lantern-0.1,GlowWeed-0.1,LillyPuck-0.2,FireEgg-0.1,WaterNut-0.2,FirecrackerPlant-0.05,BubbleGrass-0.1,PuffBall-0.05,Hazer-0.2,VultureMask-0.025,KarmaFlower-0.1,Mushroom-0.2,DataPearl-1
{#moreslugcats,#!watcher}scavGearItems: ExplosiveSpear-0.1,ElectricSpear-0.15,HellSpear-0.1,ScavengerBomb-0.15,Lantern-0.1,GlowWeed-0.1,LillyPuck-0.2,FireEgg-0.1,WaterNut-0.2,FirecrackerPlant-0.05,BubbleGrass-0.1,PuffBall-0.05,Hazer-0.2,VultureMask-0.025,KarmaFlower-0.1,Mushroom-0.2,DataPearl-1
{#!moreslugcats,#watcher}scavGearItems: ExplosiveSpear-0.1,ElectricSpear-0.15,PoisonSpear-0.1,Boomerang-0.15,ScavengerBomb-0.15,Lantern-0.1,GlowWeed-0.1,LillyPuck-0.2,WaterNut-0.2,FirecrackerPlant-0.05,BubbleGrass-0.1,PuffBall-0.05,Hazer-0.2,VultureMask-0.025,KarmaFlower-0.1,Mushroom-0.2,DataPearl-1
{#!moreslugcats,#!watcher}scavGearItems: ExplosiveSpear-0.2,ScavengerBomb-0.2,Lantern-0.1,WaterNut-0.2,FirecrackerPlant-0.05,BubbleGrass-0.1,PuffBall-0.05,Hazer-0.2,VultureMask-0.025,KarmaFlower-0.1,Mushroom-0.2,DataPearl-1

{#moreslugcats,#watcher}eliteScavGearItems: HellSpear-0.15,PoisonSpear-0.15,Boomerang-0.15,ScavengerBomb-0.2,Lantern-0.1,GlowWeed-0.1,LillyPuck-0.3,FireEgg-0.1,WaterNut-0.2,FirecrackerPlant-0.05,BubbleGrass-0.1,PuffBall-0.05,Hazer-0.2,KarmaFlower-0.1,Mushroom-0.1,DandelionPeach-0.1,DataPearl-1
{#moreslugcats,#!watcher}eliteScavGearItems: HellSpear-0.2,ScavengerBomb-0.2,Lantern-0.1,GlowWeed-0.1,LillyPuck-0.3,FireEgg-0.1,WaterNut-0.2,FirecrackerPlant-0.05,BubbleGrass-0.1,PuffBall-0.05,Hazer-0.2,KarmaFlower-0.1,Mushroom-0.1,DandelionPeach-0.1,DataPearl-1
{#!moreslugcats,#watcher}eliteScavGearItems: PoisonSpear-0.2,Boomerang-0.15,ScavengerBomb-0.2,Lantern-0.1,GlowWeed-0.1,LillyPuck-0.3,WaterNut-0.2,FirecrackerPlant-0.05,BubbleGrass-0.1,PuffBall-0.05,Hazer-0.2,KarmaFlower-0.1,Mushroom-0.1,DandelionPeach-0.1,DataPearl-1

scavScoreItems: SingularityBomb-15,InspectorCarcass-14,OracleSwarmer-14,OverseerCarcass-10,DataPearl-10,KingVultureMask-11,Rifle-8,VultureMask-8,ExplosiveSpear-6,ElectricSpear-5,HellSpear-5,ScavengerBomb-5,KarmaFlower-4,ChargedFlareBomb-5,FireEgg-5,PoisonSpear-4,Lantern-4,LillyPuck-2,JellyFish-4,Spear-3,SporePlant-3,VultureGrub-1,Durian-3,FirecrackerPlant-4,GlowWeed-3,NeedleEgg-3,FireSpriteLarva-3,Boomerang-3,RockFruit-3,LittleBalloon-2,ThornyStrawberry-2,BouncingMelon-2,Hazer-2,GraffitiBomb-2,PuffBall-3,FlareBomb-2,Mushroom-2,WaterNut-2,GooieDuck-2,EggBugEgg-2,SlimeMold-2,DandelionPeach-2,BubbleGrass-3,MarineEye-2,DangleFruit-1,LimeMushroom-1,Seed-1,FlyLure-1,Rock-1

{#moreslugcats,#watcher}dropwigBaitItems: ElectricSpear-0.1,ExplosiveSpear-0.1,HellSpear-0.1,PoisonSpear-0.1,Boomerang-0.15,ScavengerBomb-0.15,Lantern-0.1,GlowWeed-0.1,FirecrackerPlant-0.1,FlyLure-0.1,WaterNut-0.1,Hazer-0.2,FireEgg-0.1,Mushroom-0.2,OverseerCarcass-0.15,DataPearl-0.25,KarmaFlower-1
{#moreslugcats,#!watcher}dropwigBaitItems: ElectricSpear-0.15,ExplosiveSpear-0.1,HellSpear-0.1,ScavengerBomb-0.15,Lantern-0.1,GlowWeed-0.1,FirecrackerPlant-0.1,FlyLure-0.1,WaterNut-0.1,Hazer-0.2,FireEgg-0.1,Mushroom-0.2,OverseerCarcass-0.15,DataPearl-0.25,KarmaFlower-1
{#!moreslugcats,#watcher}dropwigBaitItems: ExplosiveSpear-0.1,PoisonSpear-0.15,Boomerang-0.15,ScavengerBomb-0.15,Lantern-0.1,GlowWeed-0.1,FirecrackerPlant-0.1,FlyLure-0.1,WaterNut-0.1,Hazer-0.2,Mushroom-0.2,OverseerCarcass-0.15,DataPearl-0.25,KarmaFlower-1
{#!moreslugcats,#!watcher}dropwigBaitItems: ExplosiveSpear-0.2,ScavengerBomb-0.2,Lantern-0.1,FirecrackerPlant-0.1,FlyLure-0.1,WaterNut-0.1,Hazer-0.2,Mushroom-0.2,OverseerCarcass-0.15,DataPearl-0.25,KarmaFlower-1

playerGuideOverseerSpawnChance: 0
guideColor: 0, 0.455, 0

overseersSpawnChance: 0.6
overseersMin: 0
overseersMax: 7
overseersColorOverride(1): 0.1 //Yellow(ish) (Moon)

Subregion: Hallowed Caves
Subregion: Hallowed Depths
Subregion: Anchialine System
Subregion: Lush Laboratory
Subregion: Cicatrix
Subregion: Sealed Intelligence Unit

Room Setting Templates: Gravel

Room_Attr: HH_S01: BlueLizard-Avoid,ZoopLizard-Avoid,CyanLizard-Avoid,hunterseeker-Avoid,Centipede-Avoid,RedCentipede-Avoid,Scutigera-Avoid,BigNeedleWorm-Avoid,
Room_Attr: HH_S02: BlueLizard-Avoid,ZoopLizard-Avoid,CyanLizard-Avoid,hunterseeker-Avoid,Centipede-Avoid,RedCentipede-Avoid,Scutigera-Avoid,BigNeedleWorm-Avoid,
Room_Attr: HH_S03: Salamander-Avoid,WaterSpitter-Avoid,EelLizard-Avoid,AquaCenti-Avoid,JetFish-Avoid,
Room_Attr: HH_S04: BlueLizard-Avoid,ZoopLizard-Avoid,CyanLizard-Avoid,hunterseeker-Avoid,Centipede-Avoid,RedCentipede-Avoid,Scutigera-Avoid,BigNeedleWorm-Avoid,

Room_Attr: GATE_HH_GW: BlueLizard-Forbidden,ZoopLizard-Forbidden,CyanLizard-Forbidden,hunterseeker-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Scutigera-Forbidden,TerrorLongLegs-Forbidden,DaddyLongLegs-Forbidden,BrotherLongLegs-Forbidden,BigNeedleWorm-Forbidden,
Room_Attr: GATE_DS_HH: BlueLizard-Forbidden,ZoopLizard-Forbidden,CyanLizard-Forbidden,hunterseeker-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Scutigera-Forbidden,BigNeedleWorm-Forbidden,
Room_Attr: GATE_SB_HH: BlueLizard-Forbidden,ZoopLizard-Forbidden,CyanLizard-Forbidden,hunterseeker-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Scutigera-Forbidden,BigNeedleWorm-Forbidden,
Room_Attr: GATE_HH_SL: Salamander-Forbidden,WaterSpitter-Forbidden,EelLizard-Forbidden,AquaCenti-Forbidden,JetFish-Forbidden,BigNeedleWorm-Forbidden,
Room_Attr: GATE_HH_SB: GreenLizard-Forbidden,WaterSpitter-Forbidden,SpitLizard-Forbidden,RedLizard-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Scutigera-Forbidden,FireBug-Forbidden,BigNeedleWorm-Forbidden,
Room_Attr: GATE_AB_HH: Salamander-Forbidden,WaterSpitter-Forbidden,EelLizard-Forbidden,AquaCenti-Forbidden,JetFish-Forbidden,BigNeedleWorm-Forbidden,
Room_Attr: GATE_HH_UF: BlueLizard-Forbidden,ZoopLizard-Forbidden,CyanLizard-Forbidden,hunterseeker-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Scutigera-Forbidden,BigNeedleWorm-Forbidden,
Room_Attr: GATE_HH_SC: BlueLizard-Forbidden,ZoopLizard-Forbidden,CyanLizard-Forbidden,hunterseeker-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Scutigera-Forbidden,BigNeedleWorm-Forbidden,

Room_Attr: HH_01: BigSpider-Like,MotherSpider-Like,SpitterSpider-Like,BlueLizard-Avoid,ZoopLizard-Avoid,CyanLizard-Avoid,hunterseeker-Avoid,Centipede-Avoid,Scutigera-Avoid,RedCentipede-Avoid,BigNeedleWorm-Avoid,

Room_Attr: HH_02: BigSpider-Like,MotherSpider-Like,SpitterSpider-Like,Centipede-Avoid,Scutigera-Avoid,BigNeedleWorm-Avoid,

Room_Attr: HH_03: Salamander-Avoid,Polliwog-Avoid,EelLizard-Avoid,EggBug-Stay,FireBug-Stay,BigNeedleWorm-Avoid,JetFish-Forbidden,

Room_Attr: HH_04: BigSpider-Forbidden,MotherSpider-Forbidden,SpitterSpider-Forbidden,Salamander-Forbidden,Polliwog-Forbidden,EelLizard-Forbidden,BlueLizard-Forbidden,ZoopLizard-Forbidden,CyanLizard-Forbidden,hunterseeker-Forbidden,SmallCentipede-Forbidden,Centipede-Forbidden,Scutigera-Forbidden,JetFish-Forbidden,BigNeedleWorm-Forbidden,

Room_Attr: HH_05: Overseer-Stay,BigEel-Stay,BigNeedleWorm-Stay,JetFish-Like,Salamander-Stay,Polliwog-Stay,EelLizard-Stay,SmallCentipede-Forbidden,Centipede-Forbidden,RedCentipede-Avoid,Scutigera-Forbidden,EggBug-Avoid,FireBug-Avoid,

Room_Attr: HH_06: SmallCentipede-Stay,Centipede-Stay,Scutigera-Stay,RedCentipede-Like,BigNeedleWorm-Avoid,TerrorLongLegs-Forbidden,DaddyLongLegs-Forbidden,BrotherLongLegs-Forbidden,

Room_Attr: HH_07: Centipede-Avoid,Scutigera-Avoid,BigNeedleWorm-Avoid,

Room_Attr: HH_08: BlueLizard-Stay,ZoopLizard-Stay,CyanLizard-Stay,hunterseeker-Stay,

Room_Attr: HH_09: Overseer-Stay,Deer-Stay,BigNeedleWorm-Avoid,JetFish-Like,Salamander-Stay,Polliwog-Stay,EelLizard-Stay,SmallCentipede-Forbidden,Centipede-Forbidden,RedCentipede-Avoid,Scutigera-Forbidden,EggBug-Avoid,FireBug-Avoid,MirosBird-Forbidden,MirosVulture-Forbidden,

Room_Attr: HH_10: BigSpider-Stay,MotherSpider-Stay,SpitterSpider-Stay,Overseer-Avoid,BlueLizard-Forbidden,ZoopLizard-Forbidden,CyanLizard-Forbidden,hunterseeker-Forbidden,Salamander-Forbidden,Polliwog-Forbidden,EelLizard-Forbidden,WaterSpitter-Forbidden,BigNeedleWorm-Forbidden,

Room_Attr: HH_11: BigSpider-Avoid,MotherSpider-Avoid,SpitterSpider-Avoid,BlueLizard-Avoid,ZoopLizard-Avoid,CyanLizard-Avoid,hunterseeker-Avoid,Centipede-Forbidden,RedCentipede-Avoid,Scutigera-Forbidden,BigNeedleWorm-Avoid,EggBug-Avoid,FireBug-Avoid,

Room_Attr: HH_12: BlueLizard-Avoid,ZoopLizard-Avoid,CyanLizard-Avoid,hunterseeker-Avoid,Centipede-Forbidden,RedCentipede-Avoid,Scutigera-Forbidden,BigNeedleWorm-Avoid,

